shotNo,startSec,endSec,framing,cameraMovement,visual,broll,caption,soundCue,productionNote
1,0,1,"tight face-to-camera, vertical 9:16",small push-in,Creator opens with direct eye contact and a fast gesture toward the text overlay.,"Phone screen, creator desk, sticky notes, timeline, script cards.",Stop starting from zero,fast riser / tap sound,Keep text within the safe center area and cut every 1-3 seconds.
2,1,3,over-the-shoulder or screen recording crop,jump cut with 1.2x punch-in,"Highlight the exact output that matches the voiceover: hook list, script block, or shot card.","Cursor moving, generated cards, export button, filming checklist.",If you still start every TikTok from a blank...,keyboard tap / notification pop,"Use bold captions, 5-10 words per on-screen beat."
3,3,6,medium shot with screen visible,static screen capture with quick zooms,"Show the workflow UI, notes, or storyboard cards moving quickly.","Phone screen, creator desk, sticky notes, timeline, script cards.",Ideas are not the bottleneck,soft whoosh transition,Keep text within the safe center area and cut every 1-3 seconds.
4,6,9,over-the-shoulder or screen recording crop,jump cut with 1.2x punch-in,"Highlight the exact output that matches the voiceover: hook list, script block, or shot card.","Cursor moving, generated cards, export button, filming checklist.",The problem is not having ideas. The problem...,keyboard tap / notification pop,"Use bold captions, 5-10 words per on-screen beat."
5,9,13,medium shot with screen visible,static screen capture with quick zooms,"Show the workflow UI, notes, or storyboard cards moving quickly.","Phone screen, creator desk, sticky notes, timeline, script cards.",Brief → hooks → script → shots,soft whoosh transition,Keep text within the safe center area and cut every 1-3 seconds.
6,13,18,over-the-shoulder or screen recording crop,jump cut with 1.2x punch-in,"Highlight the exact output that matches the voiceover: hook list, script block, or shot card.","Cursor moving, generated cards, export button, filming checklist.",GlowByte turns one brief into multiple TikTo...,keyboard tap / notification pop,"Use bold captions, 5-10 words per on-screen beat."
7,18,23,medium shot with screen visible,static screen capture with quick zooms,"Show the workflow UI, notes, or storyboard cards moving quickly.","Phone screen, creator desk, sticky notes, timeline, script cards.",Make it shootable,soft whoosh transition,Keep text within the safe center area and cut every 1-3 seconds.
8,23,28,over-the-shoulder or screen recording crop,jump cut with 1.2x punch-in,"Highlight the exact output that matches the voiceover: hook list, script block, or shot card.","Cursor moving, generated cards, export button, filming checklist.","Pick the strongest hook, export the shot lis...",keyboard tap / notification pop,"Use bold captions, 5-10 words per on-screen beat."
9,28,31,medium shot with screen visible,static screen capture with quick zooms,"Show the workflow UI, notes, or storyboard cards moving quickly.","Phone screen, creator desk, sticky notes, timeline, script cards.",Join the waitlist,soft whoosh transition,Keep text within the safe center area and cut every 1-3 seconds.
10,31,35,over-the-shoulder or screen recording crop,jump cut with 1.2x punch-in,"Highlight the exact output that matches the voiceover: hook list, script block, or shot card.","Cursor moving, generated cards, export button, filming checklist.",Join the early access waitlist and start wit...,keyboard tap / notification pop,"Use bold captions, 5-10 words per on-screen beat."
